economy,year,value,country
AUT,2007,29.0,Austria
BEL,2007,3.4,Belgium
DEU,2007,10.5,Germany
DNK,2007,17.7,Denmark
ESP,2007,9.0,Spain
FRA,2007,9.4,France
ITA,2007,8.7,Italy
NLD,2007,3.7,Netherlands
POL,2007,7.3,Poland
SWE,2007,41.8,Sweden
AUT,2008,29.7,Austria
BEL,2008,4.0,Belgium
DEU,2008,10.2,Germany
DNK,2008,18.5,Denmark
ESP,2008,9.7,Spain
FRA,2008,10.5,France
ITA,2008,10.8,Italy
NLD,2008,3.9,Netherlands
POL,2008,8.0,Poland
SWE,2008,43.2,Sweden
AUT,2009,31.3,Austria
BEL,2009,4.9,Belgium
DEU,2009,10.7,Germany
DNK,2009,19.3,Denmark
ESP,2009,12.2,Spain
FRA,2009,11.2,France
ITA,2009,12.5,Italy
NLD,2009,4.4,Netherlands
POL,2009,8.8,Poland
SWE,2009,45.7,Sweden
AUT,2010,31.1,Austria
BEL,2010,6.2,Belgium
DEU,2010,11.6,Germany
DNK,2010,21.2,Denmark
ESP,2010,14.4,Spain
FRA,2010,11.9,France
ITA,2010,12.8,Italy
NLD,2010,3.9,Netherlands
POL,2010,9.5,Poland
SWE,2010,44.7,Sweden
AUT,2011,31.6,Austria
BEL,2011,6.7,Belgium
DEU,2011,12.5,Germany
DNK,2011,23.8,Denmark
ESP,2011,14.7,Spain
FRA,2011,10.6,France
ITA,2011,11.9,Italy
NLD,2011,4.7,Netherlands
POL,2011,10.4,Poland
SWE,2011,45.4,Sweden
AUT,2012,34.4,Austria
BEL,2012,7.7,Belgium
DEU,2012,13.6,Germany
DNK,2012,26.9,Denmark
ESP,2012,15.8,Spain
FRA,2012,12.3,France
ITA,2012,14.4,Italy
NLD,2012,4.9,Netherlands
POL,2012,10.9,Poland
SWE,2012,48.3,Sweden
AUT,2013,34.6,Austria
BEL,2013,8.3,Belgium
DEU,2013,13.6,Germany
DNK,2013,27.0,Denmark
ESP,2013,16.9,Spain
FRA,2013,13.4,France
ITA,2013,16.3,Italy
NLD,2013,5.0,Netherlands
POL,2013,11.4,Poland
SWE,2013,47.3,Sweden
AUT,2014,35.7,Austria
BEL,2014,9.1,Belgium
DEU,2014,14.0,Germany
DNK,2014,30.2,Denmark
ESP,2014,17.3,Spain
FRA,2014,13.2,France
ITA,2014,17.1,Italy
NLD,2014,5.6,Netherlands
POL,2014,11.6,Poland
SWE,2014,48.6,Sweden
AUT,2015,34.8,Austria
BEL,2015,9.4,Belgium
DEU,2015,14.6,Germany
DNK,2015,32.5,Denmark
ESP,2015,16.3,Spain
FRA,2015,13.3,France
ITA,2015,16.6,Italy
NLD,2015,5.8,Netherlands
POL,2015,11.9,Poland
SWE,2015,51.9,Sweden
AUT,2016,34.6,Austria
BEL,2016,9.2,Belgium
DEU,2016,14.2,Germany
DNK,2016,32.0,Denmark
ESP,2016,16.7,Spain
FRA,2016,14.2,France
ITA,2016,16.1,Italy
NLD,2016,5.6,Netherlands
POL,2016,11.3,Poland
SWE,2016,50.9,Sweden
AUT,2017,34.0,Austria
BEL,2017,9.7,Belgium
DEU,2017,15.2,Germany
DNK,2017,35.0,Denmark
ESP,2017,15.2,Spain
FRA,2017,14.1,France
ITA,2017,16.4,Italy
NLD,2017,6.4,Netherlands
POL,2017,11.1,Poland
SWE,2017,51.8,Sweden
AUT,2018,34.1,Austria
BEL,2018,10.7,Belgium
DEU,2018,16.0,Germany
DNK,2018,34.6,Denmark
ESP,2018,16.9,Spain
FRA,2018,15.2,France
ITA,2018,17.1,Italy
NLD,2018,7.4,Netherlands
POL,2018,15.1,Poland
SWE,2018,51.6,Sweden
AUT,2019,34.0,Austria
BEL,2019,10.2,Belgium
DEU,2019,17.1,Germany
DNK,2019,37.2,Denmark
ESP,2019,16.7,Spain
FRA,2019,15.5,France
ITA,2019,17.3,Italy
NLD,2019,8.6,Netherlands
POL,2019,15.6,Poland
SWE,2019,52.9,Sweden
AUT,2020,35.8,Austria
BEL,2020,12.3,Belgium
DEU,2020,18.5,Germany
DNK,2020,39.5,Denmark
ESP,2020,19.3,Spain
FRA,2020,16.8,France
ITA,2020,18.7,Italy
NLD,2020,10.7,Netherlands
POL,2020,16.1,Poland
SWE,2020,57.8,Sweden
AUT,2021,36.0,Austria
BEL,2021,11.7,Belgium
DEU,2021,17.6,Germany
DNK,2021,39.5,Denmark
ESP,2021,19.0,Spain
FRA,2021,16.2,France
ITA,2021,17.5,Italy
NLD,2021,12.2,Netherlands
POL,2021,15.2,Poland
SWE,2021,57.9,Sweden
